,Economy,Economy Code,ISO Code,Region,Income Group,WBL INDEX,MOBILITY,Can a woman choose where to live in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can a woman work at night in the same way as a man?,Can a woman work in a job deemed dangerous in the same way as a man?,Can a woman work in an industrial job in the same way as a man?,MARRIAGE,Is the law free of legal provisions that require a married woman to obey her husband?,Can a woman be head of household in the same way as a man?,Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Length of paid maternity leave,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Length of paid paternity leave,Is there paid parental leave?,Shared days,Days for the mother,Days for the father,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Does the law prohibit discrimination in access to credit based on gender?,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do male and female surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Is the age at which men and women can retire with full pension benefits the same?,Is the age at which men and women can retire with partial pension benefits the same?,Is the mandatory retirement age for men and women the same?,Are periods of absence due to childcare accounted for in pension benefits?
19,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
20,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
21,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
22,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
23,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
24,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
25,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
26,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
27,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
28,Afghanistan,AFG,AFG,South Asia,Low income,"25,6",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
29,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
30,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
31,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
32,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
33,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
34,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
35,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
36,Afghanistan,AFG,AFG,South Asia,Low income,"26,3",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
37,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
38,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
39,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
40,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
41,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
42,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
43,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
44,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
45,Afghanistan,AFG,AFG,South Asia,Low income,"28,8",25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
46,Afghanistan,AFG,AFG,South Asia,Low income,"38,1",50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
47,Afghanistan,AFG,AFG,South Asia,Low income,"38,1",50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
48,Afghanistan,AFG,AFG,South Asia,Low income,"38,1",50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
49,Afghanistan,AFG,AFG,South Asia,Low income,"38,1",50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
50,Afghanistan,AFG,AFG,South Asia,Low income,"38,1",50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
51,Afghanistan,AFG,AFG,South Asia,Low income,"38,1",50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
52,Afghanistan,AFG,AFG,South Asia,Low income,"31,9",25,No,No,Yes,No,50,No,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
53,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
54,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
55,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
56,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
57,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
58,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
59,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
60,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
61,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
62,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
63,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
64,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
65,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
66,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
67,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
68,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
69,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
70,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
71,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
72,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
73,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
74,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
75,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"59,4",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
76,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"65,0",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,No,Yes
77,Albania,ALB,ALB,Europe & Central Asia,Upper middle income,"65,0",100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,No,Yes
